Episode,Track,review start,published,review length (days),JOSS experience Q asked?,code review,docs,reproducibility,GitHub,software focus,open review
01. Eva Maxfield Brown on Speakerbox,DSAIS,2/7/23,3/21/23,42,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
02. Astronomy in the Open,AASS,6/24/22,11/3/22,132,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
03. Studying Superbugs,BCM,4/22/23,10/19/23,180,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
04. Applying ML to Quantum Monte Carlo Simulations,BCM,5/17/23,11/21/23,188,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
05. Rewrite in Rust,ESE,10/25/23,1/3/24,70,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
06. Streamlining Molecular Dynamics,BCM,10/26/23,12/15/23,50,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
07. Adding Defect Analysis to the Materials Project,PE,10/11/23,1/19/24,100,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
08. Deep Learning for 3D Protein Structure Predictions,BCM,10/25/23,2/27/24,125,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
09. Reproducibility in Neuroscience,BCM,6/16/23,2/22/24,251,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
10. Defect Structure Searching,BCM,10/5/22,12/1/22,57,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
11. From COVID to Commuting,SBCS,28-Nov,4/25/24,149,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12. Text Augmentation for NLP,DSAIS,2/19/24,4/26/24,67,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
13. Humans Think in Graphy Ways,DSAIS,10/11/23,3/30/24,171,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE